pdb_id,attach_atom_index,attach_atom_name,attach_element,num_attached_H,degree,sasa_A2,min_dist_to_protein_A,clash_margin_A,growability_geom_status,growability_status,cone_height_A,cone_height_clear_A,cone_height_total_A,cone_half_angle_deg,cone_tip_x,cone_tip_y,cone_tip_z,cone_dir_x,cone_dir_y,cone_dir_z,cone_status,cone_reason,cone_n_accept_dirs,topo_eccentricity,topo_diameter,topo_center_score,G_total_corr_kcal,Kd_fold_from_G_total,linkerability
5MAH,29,C28,C,1,3,0.306686542,2.428197,-0.77180314,ok,FALSE,,,,,,,,,,,no_accept_dir,no directions with d >= r_excl_A (3.20),0,15,17,0.117647059,,,Not accessible
5MAH,23,C6,C,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,10,17,0.411764706,,,Not accessible
5MAH,19,N12,N,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,10,17,0.411764706,,,Not accessible
5MAH,15,N20,N,1,3,20.58216599,5.0170026,1.8170025,ok,TRUE,1.0258769,2.2,3.2258768,65,-11.59795153,13.83288707,1.386713928,-0.052167923,0.134176504,0.989583333,ok,,1,16,17,0.058823529,0.076023592,1.136908935,low rigidification
5MAH,27,N7,N,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,11,17,0.352941176,,,Not accessible
5WNM,19,C21,C,3,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,16,16,0,,,Not accessible
5WNM,6,C7,C,3,4,62.70173022,5.1828904,1.9828904,ok,TRUE,1.0258769,2.2,3.2258768,65,-5.831703088,-7.121686734,-20.32048522,0.744646082,-0.660842757,0.09375,ok,,3,16,16,0,0.076023592,1.136908935,low rigidification
5WNM,1,C2,C,2,4,12.27466155,3.128658,-0.07134199,ok,FALSE,,,,,,,,,,,no_accept_dir,no directions with d >= r_excl_A (3.20),0,14,16,0.125,,,Not accessible
5WNM,2,C3,C,2,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,13,16,0.1875,,,Not accessible
5WNM,31,C34,C,2,4,0.859399273,2.7311144,-0.46888566,ok,FALSE,,,,,,,,,,,no_accept_dir,no directions with d >= r_excl_A (3.20),0,16,16,0,,,Not accessible
5WNM,32,C35,C,2,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,16,16,0,,,Not accessible
5WNM,4,C5,C,2,4,2.161629038,3.715827,0.51582694,ok,TRUE,1.8460191,2.2,4.046019,50,-9.327281024,-5.118700495,-19.67952261,0.903917308,-0.023093866,0.427083333,ok,,1,13,16,0.1875,0.077370484,1.139496402,low rigidification
5WNM,5,C6,C,2,4,11.29962963,3.870695,0.67069507,ok,TRUE,1.0258769,2.2,3.2258768,65,-5.623621734,-5.254932193,-18.89829771,0.744646082,-0.660842757,0.09375,ok,,2,14,16,0.125,0.076023592,1.136908935,low rigidification
5WNM,15,C17,C,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,14,16,0.125,,,Not accessible
5WNM,22,C25,C,1,3,3.240165335,2.9201808,-0.27981925,ok,FALSE,,,,,,,,,,,no_accept_dir,no directions with d >= r_excl_A (3.20),0,10,16,0.375,,,Not accessible
5WNM,23,C26,C,1,3,4.788218534,2.284883,-0.915117,ok,FALSE,,,,,,,,,,,no_accept_dir,no directions with d >= r_excl_A (3.20),0,11,16,0.3125,,,Not accessible
5WNM,25,C28,C,1,3,0.184697727,2.8736384,-0.32636166,ok,FALSE,,,,,,,,,,,no_accept_dir,no directions with d >= r_excl_A (3.20),0,11,16,0.3125,,,Not accessible
