pdb_id,attach_atom_index,attach_atom_name,attach_element,num_attached_H,degree,sasa_A2,min_dist_to_protein_A,clash_margin_A,growability_geom_status,growability_status,cone_height_A,cone_height_clear_A,cone_height_total_A,cone_half_angle_deg,cone_tip_x,cone_tip_y,cone_tip_z,cone_dir_x,cone_dir_y,cone_dir_z,cone_status,cone_reason,cone_n_accept_dirs,topo_eccentricity,topo_diameter,topo_center_score,G_total_corr_kcal,Kd_fold_from_G_total,linkerability
6M93,19,N18,N,1,3,27.66214428,6.752199,3.5521991,ok,TRUE,0.38791937,2.2,2.5879195,80,5.652717518,-0.588753614,19.86752422,-0.305823754,-0.0890271,0.947916667,ok,,1,12,13,0.076923077,0.029151666,1.050432909,low rigidification
6PAI,6,C1,C,3,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,11,12,0.083333333,,,Not accessible
6PAI,2,C12,C,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,9,12,0.25,,,Not accessible
6PAI,3,C14,C,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,10,12,0.166666667,,,Not accessible
6PAI,8,C3,C,1,3,0.000253573,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,9,12,0.25,,,Not accessible
6PAI,9,C4,C,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,8,12,0.333333333,,,Not accessible
6PAI,16,C7,C,1,3,3.729546119,2.9930723,-0.20692778,ok,FALSE,,,,,,,,,,,no_accept_dir,no directions with d >= r_excl_A (3.20),0,9,12,0.25,,,Not accessible
6PAI,17,C8,C,1,3,12.43548451,3.4792986,0.27929854,ok,TRUE,6.7709036,2.7,9.470903,18,26.33439332,30.32650037,66.09765414,0.631231705,-0.473110834,-0.614583333,ok,,1,10,12,0.166666667,0.096967971,1.177817537,low rigidification
6PAI,18,C9,C,1,3,9.784293053,2.683952,-0.51604795,ok,FALSE,,,,,,,,,,,no_accept_dir,no directions with d >= r_excl_A (3.20),0,11,12,0.083333333,,,Not accessible
6PAI,11,N1,N,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,6,12,0.5,,,Not accessible
